member_casual,month,ride_count
member,Jun 2025,379517
casual,Jun 2025,278675
member,Jul 2025,430392
casual,Jul 2025,308429
casual,Aug 2025,323523
member,Aug 2025,443125
casual,Sep 2025,254714
member,Sep 2025,440951
casual,Oct 2025,214373
member,Oct 2025,414088
casual,Nov 2025,94689
member,Nov 2025,251912
member,Dec 2025,109371
casual,Dec 2025,27087
casual,Jan 2026,23876
member,Jan 2026,109855
member,Feb 2026,157230
casual,Feb 2026,40072
member,Mar 2026,223643
casual,Mar 2026,84796
member,Apr 2026,308472
casual,Apr 2026,127014
casual,May 2026,235812
member,May 2026,399482
