member_casual,hour,ride_count,index
casual,0.0,39234,0.47
casual,1.0,25195,0.3
casual,2.0,16691,0.2
casual,3.0,9309,0.11
casual,4.0,7422,0.09
casual,5.0,11830,0.14
casual,6.0,26805,0.32
casual,7.0,49650,0.59
casual,8.0,71407,0.85
casual,9.0,70525,0.84
casual,10.0,84944,1.01
casual,11.0,108220,1.29
casual,12.0,128335,1.53
casual,13.0,132761,1.58
casual,14.0,139963,1.67
casual,15.0,155426,1.85
casual,16.0,178494,2.13
casual,17.0,193381,2.31
casual,18.0,164985,1.97
casual,19.0,123864,1.48
casual,20.0,89661,1.07
casual,21.0,75775,0.9
casual,22.0,63940,0.76
casual,23.0,45243,0.54
