member_casual,hour,ride_count,index
member,0.0,32760,0.21
member,1.0,19968,0.13
member,2.0,11978,0.08
member,3.0,7801,0.05
member,4.0,8931,0.06
member,5.0,35357,0.23
member,6.0,103806,0.68
member,7.0,206469,1.35
member,8.0,267752,1.75
member,9.0,170379,1.11
member,10.0,145900,0.95
member,11.0,170529,1.12
member,12.0,194311,1.27
member,13.0,190953,1.25
member,14.0,194297,1.27
member,15.0,245410,1.61
member,16.0,348753,2.28
member,17.0,396935,2.6
member,18.0,306350,2.0
member,19.0,212252,1.39
member,20.0,148122,0.97
member,21.0,114822,0.75
member,22.0,82938,0.54
member,23.0,51265,0.34
